2023 Referendum Enrolment By Division [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:47 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0],,,,,,,,,,
DivisionID,DivisionNm,StateAb,CloseOfRollsEnrolment,NotebookRollAdditions,NotebookRollDeletions,ReinstatementsPostal,ReinstatementsPrePoll,ReinstatementsAbsent,ReinstatementsProvisional,Enrolment
179,Adelaide,SA,130165,0,0,0,0,0,0," 130,165 "
197,Aston,VIC,111395,0,0,0,0,0,0," 111,395 "
198,Ballarat,VIC,113572,0,0,0,0,0,0," 113,572 "
103,Banks,NSW,108862,0,0,0,0,0,0," 108,862 "
180,Barker,SA,124418,0,0,0,0,0,0," 124,418 "
104,Barton,NSW,112669,0,0,0,0,0,0," 112,669 "
192,Bass,TAS,80020,0,0,0,0,0,0," 80,020 "
318,Bean,ACT,111176,0,0,0,0,0,0," 111,176 "
200,Bendigo,VIC,113925,0,0,0,0,0,0," 113,925 "
105,Bennelong,NSW,117287,0,0,0,0,0,0," 117,287 "
106,Berowra,NSW,107219,0,0,0,0,0,0," 107,219 "
304,Blair,QLD,133540,0,0,0,0,0,0," 133,540 "
107,Blaxland,NSW,110299,0,0,0,0,0,0," 110,299 "
310,Bonner,QLD,111658,0,0,0,0,0,0," 111,658 "
182,Boothby,SA,128018,0,0,0,0,0,0," 128,018 "
155,Bowman,QLD,119304,0,0,0,0,0,0," 119,304 "
193,Braddon,TAS,83583,0,0,0,0,0,0," 83,583 "
108,Bradfield,NSW,109603,0,0,0,0,0,0," 109,603 "
235,Brand,WA,123364,0,0,0,0,0,0," 123,364 "
156,Brisbane,QLD,127069,0,0,0,0,0,0," 127,069 "
201,Bruce,VIC,114704,0,0,0,0,0,0," 114,704 "
317,Burt,WA,117415,0,0,0,0,0,0," 117,415 "
109,Calare,NSW,123089,0,0,0,0,0,0," 123,089 "
203,Calwell,VIC,116588,0,0,0,0,0,0," 116,588 "
