State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude,
ACT,318,Bean,93925,5,Belconnen BEAN PPVC,Belconnen Community Centre,23 Swanson Ct,,BELCONNEN,ACT,2617,-35.23895,149.06914,
ACT,318,Bean,11877,1,Bonython,Bonython Primary School,64 Hurtle Ave,,BONYTHON,ACT,2905,-35.4314641,149.0824087,
ACT,318,Bean,11452,1,Calwell,Calwell High School,111 Casey Cres,,CALWELL,ACT,2905,-35.44134222,149.1177593,
ACT,318,Bean,8761,1,Chapman,Chapman Primary School,46-50 Perry Dr,,CHAPMAN,ACT,2611,-35.35611258,149.0430593,
ACT,318,Bean,8763,1,Chisholm,Caroline Chisholm School (Junior Campus),103 Hambidge Cres,,CHISHOLM,ACT,2905,-35.41835244,149.1209676,
ACT,318,Bean,93916,1,City (Bean),Pilgrim House,Uniting Church,69 Northbourne Ave,CANBERRA CITY,ACT,2601,-35.2767018,149.1290814,
ACT,318,Bean,93922,5,City BEAN PPVC,Pilgrim House,Uniting Church,69 Northbourne Ave,CANBERRA CITY,ACT,2601,-35.2767018,149.1290814,
ACT,318,Bean,31298,1,Conder,Charles Conder Primary School,134 Tom Roberts Ave,,CONDER,ACT,2906,-35.46501862,149.0984467,
ACT,318,Bean,83835,1,Conder North,Saint Clare of Assisi Primary School,40 Heidelberg St,,CONDER,ACT,2906,-35.45855174,149.0969788,
ACT,318,Bean,82523,1,Coombs,Charles Weston School,80 Woodberry Ave,,COOMBS,ACT,2611,-35.32029701,149.041624,
ACT,318,Bean,93906,1,Curtin (Bean),Curtin Primary School,70 Theodore St,,CURTIN,ACT,2605,-35.33090238,149.0796702,
ACT,318,Bean,108985,1,Denman Prospect,Evelyn Scott School,2 Bielski St,,DENMAN PROSPECT,ACT,2611,-35.30700476,149.0267258,
ACT,318,Bean,8767,1,Duffy,Duffy Primary School,47 Burrinjuck Cres,,DUFFY,ACT,2611,-35.3347,149.032,
ACT,318,Bean,93927,5,EAV Bean PPVC,AEC National EAV Centre,10 Mort St,,CANBERRA,ACT,2601,-35.27731412,149.1312266,
ACT,318,Bean,8768,1,Fadden,Fadden Primary School,5 Hanlon Cres,,FADDEN,ACT,2904,-35.40427433,149.1182313,
ACT,318,Bean,8769,1,Farrer,Farrer Primary School,Lambrigg St,,FARRER,ACT,2607,-35.37803246,149.1068559,
ACT,318,Bean,93913,1,Garran (Bean),Garran Primary School,136 Gilmore Cres,,GARRAN,ACT,2605,-35.3446687,149.1029475,
ACT,318,Bean,8771,1,Gilmore,Gilmore Primary School,219 Heagney Cres,,GILMORE,ACT,2905,-35.41919957,149.1347898,
ACT,318,Bean,12072,1,Gordon,Gordon Primary School,15 Knoke Ave,,GORDON,ACT,2906,-35.45638721,149.0870586,
ACT,318,Bean,83837,1,Gordon North,Covenant Christian School,1 Woodcock Dr,,GORDON,ACT,2906,-35.43936045,149.0897874,
ACT,318,Bean,8772,1,Gowrie,Gowrie Primary School,15 Jeffries St,,GOWRIE,ACT,2904,-35.41266191,149.1110208,
ACT,318,Bean,97445,1,Greenway,Lake Tuggeranong College,123 Cowlishaw St,,GREENWAY,ACT,2900,-35.4137385,149.0682594,
ACT,318,Bean,93929,5,Gungahlin BEAN PPVC,Gungahlin Square,43 Hibberson St,,GUNGAHLIN,ACT,2912,-35.18543,149.135749,
