QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,ACT,101,Ainslie North,1630,83.16,330,16.84,1960,99.59,8,0.41,1968
1,ACT,102,Amaroo,1337,57.58,985,42.42,2322,99.27,17,0.73,2339
1,ACT,101,Aranda (Canberra),1219,83.27,245,16.73,1464,99.19,12,0.81,1476
1,ACT,102,Aranda (Fenner),122,75.78,39,24.22,161,100,0,0,161
1,ACT,101,Barton,1368,74.63,465,25.37,1833,99.62,7,0.38,1840
1,ACT,101,Belconnen (Canberra),471,67.58,226,32.42,697,99.57,3,0.43,700
1,ACT,102,Belconnen (Fenner),1221,68.4,564,31.6,1785,99.39,11,0.61,1796
1,ACT,318,Belconnen BEAN PPVC,666,56.97,503,43.03,1169,99.07,11,0.93,1180
1,ACT,101,Belconnen CANBERRA PPVC,5135,61.26,3247,38.74,8382,99.08,78,0.92,8460
1,ACT,102,Belconnen FENNER PPVC,8321,51.87,7720,48.13,16041,99.22,126,0.78,16167
1,ACT,102,Bonner,933,56.96,705,43.04,1638,99.09,15,0.91,1653
1,ACT,318,Bonython,638,57.22,477,42.78,1115,98.85,13,1.15,1128
1,ACT,101,Braddon,1442,79.14,380,20.86,1822,99.24,14,0.76,1836
1,ACT,101,Bruce (Canberra),626,72.88,233,27.12,859,99.08,8,0.92,867
1,ACT,102,Bruce (Fenner),133,71.51,53,28.49,186,99.47,1,0.53,187
1,ACT,318,Calwell,820,53.88,702,46.12,1522,98.83,18,1.17,1540
1,ACT,101,Campbell,1194,68.42,551,31.58,1745,99.26,13,0.74,1758
1,ACT,101,Campbell North,444,73.75,158,26.25,602,99.5,3,0.5,605
1,ACT,318,Chapman,1497,68.48,689,31.52,2186,99.41,13,0.59,2199
1,ACT,102,Charnwood,1039,55.74,825,44.26,1864,99.15,16,0.85,1880
1,ACT,102,Charnwood East,341,58.79,239,41.21,580,99.49,3,0.51,583
1,ACT,318,Chisholm,542,49.01,564,50.99,1106,98.49,17,1.51,1123
1,ACT,318,City (Bean),96,79.34,25,20.66,121,100,0,0,121
1,ACT,101,City (Canberra),1092,77.56,316,22.44,1408,99.02,14,0.98,1422
1,ACT,102,City (Fenner),109,71.71,43,28.29,152,99.35,1,0.65,153
