2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:49 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NSW,119,Abbotsbury,339,24.93,1021,75.07,1360,98.27,24,1.73,1384
1,NSW,144,Abbotsford,1406,53.56,1219,46.44,2625,99.02,26,0.98,2651
1,NSW,144,Abbotsford East,449,53.71,387,46.29,836,99.17,7,0.83,843
1,NSW,126,Aberdare,433,30.64,980,69.36,1413,97.99,29,2.01,1442
1,NSW,135,Aberdeen,137,18.49,604,81.51,741,99.33,5,0.67,746
1,NSW,249,Aberglasslyn,380,36.19,670,63.81,1050,98.5,16,1.5,1066
1,NSW,249,Abermain,198,23.08,660,76.92,858,98.96,9,1.04,867
1,NSW,122,Acacia Gardens,746,43.88,954,56.12,1700,98.89,19,1.11,1719
1,NSW,117,Adaminaby,36,21.18,134,78.82,170,99.42,1,0.58,171
1,NSW,136,Adamstown Heights (Newcastle),789,55.88,623,44.12,1412,98.53,21,1.47,1433
1,NSW,148,Adamstown Heights (Shortland),208,55.32,168,44.68,376,98.69,5,1.31,381
1,NSW,136,Adamstown North,904,56.29,702,43.71,1606,98.47,25,1.53,1631
1,NSW,136,Adamstown South,1020,60.07,678,39.93,1698,98.72,22,1.28,1720
1,NSW,117,Adelong,83,19.12,351,80.88,434,99.09,4,0.91,438
1,NSW,131,Airds,413,38.06,672,61.94,1085,98.91,12,1.09,1097
1,NSW,131,Airds North,208,58.43,148,41.57,356,99.16,3,0.84,359
1,NSW,150,Albion Park,379,37.01,645,62.99,1024,98.56,15,1.44,1039
1,NSW,150,Albion Park Heights,629,34.58,1190,65.42,1819,99.13,16,0.87,1835
1,NSW,150,Albion Park PPVC,2747,27.73,7161,72.27,9908,98.76,124,1.24,10032
1,NSW,150,Albion Park Rail,535,34.99,994,65.01,1529,98.26,27,1.74,1556
1,NSW,150,Albion Park South,504,41.86,700,58.14,1204,98.21,22,1.79,1226
