QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,QLD,173,Acacia Ridge,357,46.01,419,53.99,776,98.23,14,1.77,790
1,QLD,173,Acacia Ridge South (Moreton),657,44.79,810,55.21,1467,98.59,21,1.41,1488
1,QLD,174,Acacia Ridge South (Oxley),114,57.87,83,42.13,197,98.01,4,1.99,201
1,QLD,311,Agnes Water,169,23.06,564,76.94,733,98.92,8,1.08,741
1,QLD,311,Agnes Water PPVC,347,23.27,1144,76.73,1491,98.94,16,1.06,1507
1,QLD,158,Airlie Beach,244,26.87,664,73.13,908,98.16,17,1.84,925
1,QLD,158,Airlie Beach PPVC,704,21.18,2620,78.82,3324,98.9,37,1.1,3361
1,QLD,165,Aitkenvale,367,34.92,684,65.08,1051,98.32,18,1.68,1069
1,QLD,158,Aitkenvale DAWSON PPVC,486,20.63,1870,79.37,2356,99.37,15,0.63,2371
1,QLD,165,Aitkenvale HERBERT PPVC,2353,24.16,7387,75.84,9740,99.45,54,0.55,9794
1,QLD,167,Aitkenvale KENNEDY PPVC,86,15.64,464,84.36,550,99.64,2,0.36,552
1,QLD,252,Albany Creek,199,39.96,299,60.04,498,98.81,6,1.19,504
1,QLD,252,Albany Creek North,720,39.09,1122,60.91,1842,99.51,9,0.49,1851
1,QLD,252,Albany Creek South,797,39.53,1219,60.47,2016,99.26,15,0.74,2031
1,QLD,252,Albany Hills,612,42.95,813,57.05,1425,99.16,12,0.84,1437
1,QLD,159,Alberton,54,16.51,273,83.49,327,99.7,1,0.3,328
1,QLD,156,Alderley,632,60.54,412,39.46,1044,99.24,8,0.76,1052
1,QLD,155,Alexandra Hills,384,30.12,891,69.88,1275,98.91,14,1.09,1289
1,QLD,155,Alexandra Park,611,30,1426,70,2037,98.88,23,1.12,2060
1,QLD,176,Algester,670,43.59,867,56.41,1537,99.29,11,0.71,1548
1,QLD,176,Algester South,912,38.58,1452,61.42,2364,98.66,32,1.34,2396
1,QLD,165,Alice River (Herbert),46,13.29,300,86.71,346,99.14,3,0.86,349
1,QLD,167,Alice River (Kennedy),138,16.37,705,83.63,843,99.76,2,0.24,845
1,QLD,157,Allenstown,531,32.52,1102,67.48,1633,99.15,14,0.85,1647
1,QLD,157,Alligator Creek,98,14.22,591,85.78,689,99.42,4,0.58,693
1,QLD,170,Allora,140,17.37,666,82.63,806,98.9,9,1.1,815
1,QLD,166,Alloway,50,15.63,270,84.38,320,99.38,2,0.62,322
1,QLD,167,Aloomba,52,17.22,250,82.78,302,99.67,1,0.33,303
1,QLD,170,Alpha,24,12.57,167,87.43,191,100,0,0,191
1,QLD,311,Alton Downs,31,7.47,384,92.53,415,99.52,2,0.48,417
1,QLD,178,Amamoor,83,20.29,326,79.71,409,99.51,2,0.49,411
1,QLD,170,Amiens,13,13.4,84,86.6,97,100,0,0,97
1,QLD,155,Amity Point,66,30.14,153,69.86,219,99.55,1,0.45,220
1,QLD,158,Andergrove,288,22.71,980,77.29,1268,99.22,10,0.78,1278
1,QLD,158,Andergrove South,437,25.06,1307,74.94,1744,99.03,17,0.97,1761
1,QLD,158,Annandale (Dawson),379,30.42,867,69.58,1246,99.05,12,0.95,1258
1,QLD,165,Annandale (Herbert),126,30.22,291,69.78,417,99.05,4,0.95,421
1,QLD,158,Annandale East (Dawson),249,30.18,576,69.82,825,99.4,5,0.6,830
1,QLD,165,Annandale East (Herbert),71,26.89,193,73.11,264,100,0,0,264
1,QLD,173,Annerley,400,63.49,230,36.51,630,98.75,8,1.25,638
1,QLD,173,Annerley Junction,650,65.92,336,34.08,986,98.6,14,1.4,1000
1,QLD,166,Apple Tree Creek,37,15.23,206,84.77,243,100,0,0,243
1,QLD,170,Applethorpe,35,16.99,171,83.01,206,98.56,3,1.44,209
1,QLD,170,Aramac,19,13.57,121,86.43,140,98.59,2,1.41,142
1,QLD,252,Arana Hills,552,53.75,475,46.25,1027,99.23,8,0.77,1035
1,QLD,316,Aratula,59,16.16,306,83.84,365,99.18,3,0.82,368
1,QLD,165,Arcadia,256,44.14,324,55.86,580,98.64,8,1.36,588
1,QLD,159,Arundel,1074,33.25,2156,66.75,3230,98.27,57,1.73,3287
1,QLD,159,Arundel East,310,38.04,505,61.96,815,98.55,12,1.45,827
1,QLD,156,Ascot,888,41.67,1243,58.33,2131,99.25,16,0.75,2147
1,QLD,156,Ashgrove,1088,63.55,624,36.45,1712,98.62,24,1.38,1736
1,QLD,156,Ashgrove West (Brisbane),591,62.81,350,37.19,941,99.58,4,0.42,945
1,QLD,177,Ashgrove West (Ryan),641,66.01,330,33.99,971,99.39,6,0.61,977
1,QLD,172,Ashmore,600,31.33,1315,68.67,1915,97.46,50,2.54,1965
1,QLD,172,Ashmore West,436,32.13,921,67.87,1357,98.69,18,1.31,1375
1,QLD,169,Aspley (Lilley),152,43.3,199,56.7,351,98.6,5,1.4,356
1,QLD,175,Aspley (Petrie),663,45.32,800,54.68,1463,98.92,16,1.08,1479
1,QLD,169,Aspley East (Lilley),466,50.76,452,49.24,918,99.03,9,0.97,927
1,QLD,175,Aspley East (Petrie),255,46.36,295,53.64,550,99.28,4,0.72,554
1,QLD,169,Aspley West,839,44.6,1042,55.4,1881,99.47,10,0.53,1891
1,QLD,167,Atherton,250,23.34,821,76.66,1071,98.98,11,1.02,1082
1,QLD,167,Atherton North,82,24.7,250,75.3,332,99.4,2,0.6,334
1,QLD,167,Atherton PPVC,1409,16.98,6890,83.02,8299,99.51,41,0.49,8340
1,QLD,177,Auchenflower,870,64.83,472,35.17,1342,99.33,9,0.67,1351
1,QLD,170,Augathella,25,13.97,154,86.03,179,98.35,3,1.65,182
1,QLD,174,Augustine Heights Central,570,41.18,814,58.82,1384,99.57,6,0.43,1390
1,QLD,166,Avoca,299,20.97,1127,79.03,1426,99.23,11,0.77,1437
1,QLD,158,Ayr,191,13.82,1191,86.18,1382,99.5,7,0.5,1389
1,QLD,158,Ayr East,49,21.78,176,78.22,225,97.83,5,2.17,230
1,QLD,158,Ayr PPVC,655,9.29,6398,90.71,7053,99.48,37,0.52,7090
1,QLD,167,Babinda,158,22.97,530,77.03,688,99.57,3,0.43,691
1,QLD,311,Baffle Creek,50,15.29,277,84.71,327,99.39,2,0.61,329
1,QLD,311,Bajool,15,8.98,152,91.02,167,100,0,0,167
1,QLD,157,Bakers Creek,97,19.52,400,80.48,497,99.4,3,0.6,500
1,QLD,175,Bald Hills,703,40.75,1022,59.25,1725,98.74,22,1.26,1747
1,QLD,170,Ballandean,51,25.37,150,74.63,201,100,0,0,201
1,QLD,163,Balmoral,770,57.98,558,42.02,1328,99.18,11,0.82,1339
1,QLD,168,Bamaga,263,60.05,175,39.95,438,99.32,3,0.68,441
