2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:48 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,186,Aberfoyle Park,428,47.35,476,52.65,904,98.91,10,1.09,914
1,SA,186,Aberfoyle Park Central,338,47.61,372,52.39,710,98.89,8,1.11,718
1,SA,186,Aberfoyle Park North,708,43.28,928,56.72,1636,98.49,25,1.51,1661
1,SA,186,Aberfoyle Park PPVC,2939,33.61,5805,66.39,8744,99.13,77,0.87,8821
1,SA,186,Aberfoyle Park South,397,47.26,443,52.74,840,99.06,8,0.94,848
1,SA,179,Adelaide,453,63.36,262,36.64,715,98.48,11,1.52,726
1,SA,179,Adelaide ADELAIDE PPVC,3402,59.11,2353,40.89,5755,99.17,48,0.83,5803
1,SA,180,Adelaide BARKER PPVC,68,37.57,113,62.43,181,99.45,1,0.55,182
1,SA,182,Adelaide BOOTHBY PPVC,1065,57.32,793,42.68,1858,99.15,16,0.85,1874
1,SA,179,Adelaide East,613,62.49,368,37.51,981,99.19,8,0.81,989
1,SA,183,Adelaide GREY PPVC,84,44.68,104,55.32,188,100,0,0,188
1,SA,185,Adelaide HINDMARSH PPVC,908,47.87,989,52.13,1897,99.16,16,0.84,1913
1,SA,186,Adelaide KINGSTON PPVC,378,52.07,348,47.93,726,99.18,6,0.82,732
1,SA,187,Adelaide MAKIN PPVC,491,45,600,55,1091,99.18,9,0.82,1100
1,SA,188,Adelaide MAYO PPVC,385,57.46,285,42.54,670,98.67,9,1.33,679
1,SA,179,Adelaide South,1123,68.9,507,31.1,1630,99.03,16,0.97,1646
1,SA,325,Adelaide SPENCE PPVC,246,45.81,291,54.19,537,99.26,4,0.74,541
1,SA,190,Adelaide STURT PPVC,1429,52.79,1278,47.21,2707,98.9,30,1.1,2737
1,SA,179,Adelaide West,415,66.83,206,33.17,621,98.89,7,1.11,628
1,SA,185,Albert Park,339,36.61,587,63.39,926,99.14,8,0.86,934
1,SA,188,Aldgate,883,61.75,547,38.25,1430,98.69,19,1.31,1449
1,SA,188,Aldinga Beach,338,53.91,289,46.09,627,98.9,7,1.1,634
1,SA,188,Aldinga Beach PPVC,2365,36.24,4161,63.76,6526,99.12,58,0.88,6584
1,SA,188,Aldinga Beach West,898,44.41,1124,55.59,2022,98.2,37,1.8,2059
1,SA,183,Alford,24,17.52,113,82.48,137,100,0,0,137
1,SA,179,Allenby Gardens (Adelaide),792,46.92,896,53.08,1688,99.12,15,0.88,1703
1,SA,185,Allenby Gardens (Hindmarsh),266,48.81,279,51.19,545,98.73,7,1.27,552
1,SA,188,American River,64,35.75,115,64.25,179,98.9,2,1.1,181
1,SA,183,Andamooka,37,24.03,117,75.97,154,100,0,0,154
1,SA,325,Andrews Farm,732,31.38,1601,68.62,2333,98.36,39,1.64,2372
1,SA,180,Angaston,368,42.01,508,57.99,876,99.55,4,0.45,880
1,SA,183,Angle Vale (Grey),22,20,88,80,110,96.49,4,3.51,114
1,SA,325,Angle Vale (Spence),349,22.62,1194,77.38,1543,98.91,17,1.09,1560
1,SA,183,Angle Vale North (Grey),85,21.04,319,78.96,404,99.51,2,0.49,406
1,SA,325,Angle Vale North (Spence),249,26.46,692,73.54,941,98.95,10,1.05,951
1,SA,183,Ardrossan,150,15.27,832,84.73,982,99.19,8,0.81,990
1,SA,183,Arno Bay,28,13.15,185,86.85,213,97.71,5,2.29,218
1,SA,183,Arthurton,21,12.8,143,87.2,164,99.39,1,0.61,165
1,SA,182,Ascot Park,480,52.34,437,47.66,917,98.71,12,1.29,929
1,SA,188,Ashbourne,70,37.04,119,62.96,189,97.93,4,2.07,193
1,SA,190,Athelstone,664,43.34,868,56.66,1532,99.16,13,0.84,1545
1,SA,190,Athelstone East,538,44.28,677,55.72,1215,99.1,11,0.9,1226
1,SA,190,Athelstone PPVC,2081,30.07,4839,69.93,6920,99.3,49,0.7,6969
1,SA,190,Athelstone West,651,37.56,1082,62.44,1733,98.63,24,1.37,1757
1,SA,183,Auburn,165,33,335,67,500,99.01,5,0.99,505
1,SA,183,Balaklava,208,16.49,1053,83.51,1261,99.37,8,0.63,1269
1,SA,187,Banksia Park,612,40.69,892,59.31,1504,98.43,24,1.57,1528
1,SA,180,Barmera,250,17.83,1152,82.17,1402,98.94,15,1.06,1417
1,SA,180,Beachport,135,28.01,347,71.99,482,99.18,4,0.82,486
1,SA,190,Beaumont,648,48.69,683,51.31,1331,99.03,13,0.97,1344
1,SA,182,Belair,525,66.2,268,33.8,793,99.13,7,0.88,800
1,SA,182,Belair North,988,63.25,574,36.75,1562,98.74,20,1.26,1582
1,SA,182,Bellevue Heights,817,56.74,623,43.26,1440,99.31,10,0.69,1450
1,SA,180,Berri,389,21.66,1407,78.34,1796,98.95,19,1.05,1815
1,SA,188,Birdwood,186,31.63,402,68.37,588,99.32,4,0.68,592
1,SA,185,Birkenhead,540,47.75,591,52.25,1131,98.35,19,1.65,1150
1,SA,179,Black Forest (Adelaide),343,53.34,300,46.66,643,98.77,8,1.23,651
1,SA,182,Black Forest (Boothby),518,57.49,383,42.51,901,99.12,8,0.88,909
1,SA,182,Black Forest East,775,60.03,516,39.97,1291,99.38,8,0.62,1299
1,SA,182,Blackwood (Boothby),414,57.26,309,42.74,723,99.18,6,0.82,729
1,SA,188,Blackwood (Mayo),705,46.26,819,53.74,1524,98.9,17,1.1,1541
1,SA,182,Blackwood Central,708,61.3,447,38.7,1155,99.23,9,0.77,1164
1,SA,179,Blair Athol,603,49.26,621,50.74,1224,98.63,17,1.37,1241
1,SA,325,Blakeview,522,36.3,916,63.7,1438,99.31,10,0.69,1448
1,SA,325,Blakeview South,365,25.63,1059,74.37,1424,99.03,14,0.97,1438
1,SA,180,Blanchetown,29,12.95,195,87.05,224,98.68,3,1.32,227
1,SA,183,Blyth,100,23.36,328,76.64,428,99.07,4,0.93,432
1,SA,183,Booborowie,18,12.59,125,87.41,143,100,0,0,143
1,SA,183,Booleroo Centre,38,13.24,249,86.76,287,99.65,1,0.35,288
1,SA,180,Bordertown,232,16.87,1143,83.13,1375,99.06,13,0.94,1388
1,SA,325,Brahma Lodge,442,35.7,796,64.3,1238,98.65,17,1.35,1255
1,SA,188,Bridgewater,602,65.86,312,34.14,914,98.92,10,1.08,924
1,SA,188,Bridgewater PPVC,1889,46.11,2208,53.89,4097,99.27,30,0.73,4127
1,SA,182,Brighton,680,52.88,606,47.12,1286,99.08,12,0.92,1298
1,SA,182,Brighton BOOTHBY PPVC,5404,40.2,8040,59.8,13444,99.18,111,0.82,13555
1,SA,186,Brighton KINGSTON PPVC,0,0,0,0,0,0,0,0,0
1,SA,182,Brighton North,692,52.78,619,47.22,1311,98.87,15,1.13,1326
1,SA,182,Brighton South,663,55.76,526,44.24,1189,99.17,10,0.83,1199
1,SA,182,Brighton West,421,47.57,464,52.43,885,99.44,5,0.56,890
1,SA,183,Brinkworth,38,17.84,175,82.16,213,98.61,3,1.39,216
1,SA,179,Broadview,858,45.13,1043,54.87,1901,99.27,14,0.73,1915
1,SA,179,Brompton,1362,60.97,872,39.03,2234,98.76,28,1.24,2262
1,SA,179,Brooklyn Park (Adelaide),172,43.11,227,56.89,399,98.28,7,1.72,406
1,SA,185,Brooklyn Park (Hindmarsh),444,43.36,580,56.64,1024,98.75,13,1.25,1037
1,SA,185,Brooklyn Park South,475,44.9,583,55.1,1058,98.69,14,1.31,1072
1,SA,188,Brukunga,250,43.18,329,56.82,579,99.14,5,0.86,584
1,SA,190,Burnside,913,52.41,829,47.59,1742,99.09,16,0.91,1758
1,SA,183,Burra,158,26.33,442,73.67,600,99.5,3,0.5,603
1,SA,325,Burton,575,29.93,1346,70.07,1921,98.56,28,1.44,1949
1,SA,183,Bute,30,13.33,195,86.67,225,100,0,0,225
1,SA,180,Cadell,19,12.42,134,87.58,153,99.35,1,0.65,154
1,SA,188,Callington,111,30.92,248,69.08,359,98.63,5,1.37,364
1,SA,180,Cambrai,36,20.11,143,79.89,179,98.9,2,1.1,181
1,SA,190,Campbelltown,736,43.42,959,56.58,1695,98.55,25,1.45,1720
1,SA,180,Carpenter Rocks,15,14.71,87,85.29,102,100,0,0,102
1,SA,183,Ceduna,323,25.57,940,74.43,1263,99.37,8,0.63,1271
1,SA,183,Ceduna PPVC,0,0,0,0,0,0,0,0,0
1,SA,188,Charleston,155,36.56,269,63.44,424,99.07,4,0.93,428
1,SA,185,Cheltenham,697,47.97,756,52.03,1453,98.91,16,1.09,1469
1,SA,188,Cherry Gardens,228,44.71,282,55.29,510,98.84,6,1.16,516
1,SA,186,Christie Downs,421,34.09,814,65.91,1235,98.41,20,1.59,1255
1,SA,186,Christie Downs East,388,34.34,742,65.66,1130,98.69,15,1.31,1145
1,SA,186,Christies Beach,727,41.83,1011,58.17,1738,98.36,29,1.64,1767
1,SA,182,Clapham,771,59.4,527,40.6,1298,99.01,13,0.99,1311
1,SA,183,Clare,612,27.27,1632,72.73,2244,99.64,8,0.36,2252
1,SA,182,Clarence Park,446,56.96,337,43.04,783,98.37,13,1.63,796
1,SA,188,Clarendon,147,44.55,183,55.45,330,98.21,6,1.79,336
1,SA,179,Clearview,461,46.33,534,53.67,995,99,10,1,1005
1,SA,183,Cleve,88,15.12,494,84.88,582,99.49,3,0.51,585
1,SA,180,Cobdogla,90,18.52,396,81.48,486,99.18,4,0.82,490
1,SA,183,Coffin Bay,140,30.3,322,69.7,462,98.51,7,1.49,469
1,SA,182,Colonel Light Gardens,1033,61.31,652,38.69,1685,99.23,13,0.77,1698
1,SA,179,Colonel Light Gardens ADELAIDE PPVC,859,47.12,964,52.88,1823,99.29,13,0.71,1836
1,SA,182,Colonel Light Gardens BOOTHBY PPVC,4486,42.32,6114,57.68,10600,99.19,87,0.81,10687
1,SA,188,Colonel Light Gardens MAYO PPVC,345,44.69,427,55.31,772,99.61,3,0.39,775
1,SA,180,Compton,84,21.32,310,78.68,394,97.77,9,2.23,403
1,SA,183,Coober Pedy,125,23.54,406,76.46,531,98.7,7,1.3,538
1,SA,183,Coober Pedy PPVC,0,0,0,0,0,0,0,0,0
1,SA,183,Coobowie,40,21.16,149,78.84,189,99.47,1,0.53,190
1,SA,180,Coomandook,17,14.53,100,85.47,117,99.15,1,0.85,118
1,SA,180,Coonalpyn,23,12.78,157,87.22,180,100,0,0,180
1,SA,180,Coonawarra,47,28.66,117,71.34,164,100,0,0,164
1,SA,183,Corny Point,38,26.39,106,73.61,144,99.31,1,0.69,145
1,SA,188,Coromandel Valley,765,57.43,567,42.57,1332,98.89,15,1.11,1347
1,SA,179,Cowandilla (Adelaide),1259,50.48,1235,49.52,2494,98.5,38,1.5,2532
1,SA,185,Cowandilla (Hindmarsh),293,42.71,393,57.29,686,99.56,3,0.44,689
1,SA,183,Cowell,72,10.91,588,89.09,660,98.95,7,1.05,667
1,SA,188,Crafers,835,59.77,562,40.23,1397,99.08,13,0.92,1410
1,SA,325,Craigmore North,554,28.78,1371,71.22,1925,99.02,19,0.98,1944
1,SA,325,Craigmore South,546,23.78,1750,76.22,2296,99.09,21,0.91,2317
1,SA,179,Croydon,708,59.7,478,40.3,1186,98.83,14,1.17,1200
1,SA,179,Croydon Park,347,41.02,499,58.98,846,98.03,17,1.97,863
1,SA,183,Crystal Brook,176,22.36,611,77.64,787,98.75,10,1.25,797
1,SA,188,Cudlee Creek,44,27.33,117,72.67,161,98.77,2,1.23,163
1,SA,183,Cummins,92,14.05,563,85.95,655,99.54,3,0.46,658
1,SA,183,Curramulka,23,15.03,130,84.97,153,99.35,1,0.65,154
1,SA,188,Currency Creek,174,34.87,325,65.13,499,98.62,7,1.38,506
1,SA,183,Darke Peak,3,5.17,55,94.83,58,100,0,0,58
