QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,193,Acton,315,26.76,862,73.24,1177,98.41,19,1.59,1196
1,TAS,195,Adventure Bay,82,54.3,69,45.7,151,98.05,3,1.95,154
1,TAS,195,Alonnah,123,53.25,108,46.75,231,99.57,1,0.43,232
1,TAS,319,Austins Ferry,566,38.85,891,61.15,1457,99.12,13,0.88,1470
1,TAS,196,Avoca,30,21.58,109,78.42,139,97.89,3,2.11,142
1,TAS,196,Bagdad,205,27.04,553,72.96,758,99.08,7,0.92,765
1,TAS,319,Battery Point,604,73.3,220,26.7,824,99.28,6,0.72,830
1,TAS,192,Beaconsfield,259,26.46,720,73.54,979,98.29,17,1.71,996
1,TAS,192,Beauty Point,209,33.33,418,66.67,627,99.52,3,0.48,630
1,TAS,195,Bellerive,728,63.14,425,36.86,1153,98.89,13,1.11,1166
1,TAS,195,Bellerive East,803,57.81,586,42.19,1389,99.29,10,0.71,1399
1,TAS,196,Bicheno,260,44.67,322,55.33,582,98.48,9,1.52,591
1,TAS,195,Blackmans Bay,579,58.25,415,41.75,994,99.2,8,0.8,1002
1,TAS,195,Blackmans Bay South,679,60.79,438,39.21,1117,99.11,10,0.89,1127
1,TAS,196,Blackstone Heights,166,33.4,331,66.6,497,98.81,6,1.19,503
1,TAS,193,Boat Harbour,137,32.7,282,67.3,419,99.76,1,0.24,420
1,TAS,196,Bothwell,66,20,264,80,330,98.8,4,1.2,334
1,TAS,196,Bracknell,89,20.84,338,79.16,427,99.3,3,0.7,430
1,TAS,192,Branxholm,84,44.44,105,55.56,189,98.44,3,1.56,192
1,TAS,196,Bridgewater,361,25.84,1036,74.16,1397,98.73,18,1.27,1415
1,TAS,196,Bridgewater North,72,30.13,167,69.87,239,100,0,0,239
1,TAS,192,Bridport,329,30.43,752,69.57,1081,98.9,12,1.1,1093
1,TAS,196,Brighton,544,25.65,1577,74.35,2121,98.88,24,1.12,2145
1,TAS,196,Broadmarsh,60,30.61,136,69.39,196,98.49,3,1.51,199
1,TAS,193,Burnie,363,38.49,580,61.51,943,99.58,4,0.42,947
1,TAS,193,Burnie PPVC,1890,26.61,5212,73.39,7102,99.12,63,0.88,7165
1,TAS,193,Calder,60,35.93,107,64.07,167,98.82,2,1.18,169
1,TAS,195,Cambridge,576,47.21,644,52.79,1220,98.55,18,1.45,1238
1,TAS,196,Campania,160,29.41,384,70.59,544,99.09,5,0.91,549
1,TAS,196,Campbell Town,205,31.35,449,68.65,654,98.49,10,1.51,664
1,TAS,196,Carlton,137,62.27,83,37.73,220,99.55,1,0.45,221
1,TAS,196,Carrick,177,25.84,508,74.16,685,99.13,6,0.87,691
1,TAS,319,Cascades,601,85.73,100,14.27,701,99.72,2,0.28,703
1,TAS,319,Chigwell,366,37.2,618,62.8,984,98.4,16,1.6,1000
1,TAS,196,Chudleigh,84,26.75,230,73.25,314,97.52,8,2.48,322
1,TAS,319,Claremont,455,43.5,591,56.5,1046,98.68,14,1.32,1060
1,TAS,319,Claremont North,254,40.13,379,59.87,633,98.44,10,1.56,643
1,TAS,319,Claremont South,499,38.74,789,61.26,1288,97.87,28,2.13,1316
1,TAS,195,Clarendon Vale,327,33.68,644,66.32,971,98.38,16,1.62,987
1,TAS,196,Claude Road,119,34.69,224,65.31,343,98.28,6,1.72,349
1,TAS,196,Colebrook,35,18.23,157,81.77,192,99.48,1,0.52,193
1,TAS,196,Coles Bay,76,42.7,102,57.3,178,98.34,3,1.66,181
1,TAS,319,Collinsvale,169,48.42,180,51.58,349,98.59,5,1.41,354
1,TAS,193,Cooee,212,31.36,464,68.64,676,98.69,9,1.31,685
1,TAS,196,Copping,95,44.81,117,55.19,212,97.25,6,2.75,218
1,TAS,195,Cradoc,250,44.56,311,55.44,561,99.29,4,0.71,565
1,TAS,196,Cressy,140,20.17,554,79.83,694,97.61,17,2.39,711
1,TAS,193,Currie,200,29.24,484,70.76,684,97.85,15,2.15,699
1,TAS,195,Cygnet,1000,60.42,655,39.58,1655,98.22,30,1.78,1685
1,TAS,196,Deloraine,657,36.22,1157,63.78,1814,98.48,28,1.52,1842
1,TAS,192,Derby,47,39.83,71,60.17,118,100,0,0,118
1,TAS,319,Derwent Park,802,59.5,546,40.5,1348,98.68,18,1.32,1366
1,TAS,319,Derwent Park North,148,39.36,228,60.64,376,99.47,2,0.53,378
1,TAS,193,Devonport,243,30.64,550,69.36,793,98.63,11,1.37,804
1,TAS,193,Devonport Central,340,36.13,601,63.87,941,98.84,11,1.16,952
1,TAS,193,Devonport North,52,48.6,55,51.4,107,97.27,3,2.73,110
1,TAS,193,Devonport North West,741,32.64,1529,67.36,2270,98.44,36,1.56,2306
1,TAS,193,Devonport South,403,28.06,1033,71.94,1436,97.89,31,2.11,1467
1,TAS,193,Devonport West,64,31.07,142,68.93,206,100,0,0,206
1,TAS,192,Dilston,213,36.98,363,63.02,576,99.31,4,0.69,580
1,TAS,196,Dodges Ferry,685,49.28,705,50.72,1390,98.03,28,1.97,1418
1,TAS,193,Don,372,31.69,802,68.31,1174,98.49,18,1.51,1192
1,TAS,195,Dover,272,40.54,399,59.46,671,99.11,6,0.89,677
1,TAS,196,Dromedary,108,28.27,274,71.73,382,98.45,6,1.55,388
1,TAS,196,Dunalley,131,41.59,184,58.41,315,98.13,6,1.87,321
1,TAS,193,East Devonport,443,25.73,1279,74.27,1722,98.68,23,1.32,1745
1,TAS,193,East Devonport BRADDON PPVC,1717,24.5,5291,75.5,7008,99.12,62,0.88,7070
1,TAS,196,East Devonport LYONS PPVC,194,27.13,521,72.87,715,99.17,6,0.83,721
1,TAS,192,East Launceston,633,58.61,447,41.39,1080,99.36,7,0.64,1087
1,TAS,195,Eastern Shore PPVC,3097,47.04,3487,52.96,6584,99.26,49,0.74,6633
1,TAS,192,EAV Bass PPVC,0,0,0,0,0,0,0,0,0
1,TAS,193,EAV Braddon PPVC,0,0,0,0,0,0,0,0,0
1,TAS,319,EAV Clark PPVC,12,70.59,5,29.41,17,100,0,0,17
1,TAS,195,EAV Franklin PPVC,7,70,3,30,10,100,0,0,10
1,TAS,196,EAV Lyons PPVC,0,0,0,0,0,0,0,0,0
1,TAS,193,Edith Creek,40,25.32,118,74.68,158,98.14,3,1.86,161
1,TAS,196,Elizabeth Town,72,33.49,143,66.51,215,97.29,6,2.71,221
1,TAS,193,Elliott,107,27.79,278,72.21,385,97.72,9,2.28,394
1,TAS,196,Epping Forest,34,22.97,114,77.03,148,99.33,1,0.67,149
1,TAS,196,Evandale,262,34.52,497,65.48,759,98.19,14,1.81,773
1,TAS,192,Exeter,372,31.88,795,68.12,1167,98.81,14,1.19,1181
1,TAS,319,Fern Tree,352,82.82,73,17.18,425,99.53,2,0.47,427
1,TAS,196,Fingal,56,20.82,213,79.18,269,97.82,6,2.18,275
1,TAS,193,Forest,63,17.9,289,82.1,352,99.44,2,0.56,354
1,TAS,193,Forth,192,38.02,313,61.98,505,99.21,4,0.79,509
1,TAS,195,Franklin Township,368,55.67,293,44.33,661,98.95,7,1.05,668
1,TAS,196,Gagebrook,244,25.85,700,74.15,944,97.32,26,2.68,970
1,TAS,193,Gawler,96,21.57,349,78.43,445,99.11,4,0.89,449
1,TAS,195,Geeveston,432,41.7,604,58.3,1036,99.62,4,0.38,1040
1,TAS,195,Geilston Bay,757,57.57,558,42.43,1315,99.17,11,0.83,1326
1,TAS,192,George Town,456,29.67,1081,70.33,1537,98.02,31,1.98,1568
1,TAS,192,George Town South,321,28.74,796,71.26,1117,99.02,11,0.98,1128
1,TAS,192,Gladstone,49,25,147,75,196,97.51,5,2.49,201
1,TAS,195,Glen Huon,150,45.87,177,54.13,327,99.7,1,0.3,328
1,TAS,192,Glengarry,78,28.26,198,71.74,276,98.57,4,1.43,280
1,TAS,196,Glenora,81,27.27,216,72.73,297,99,3,1,300
1,TAS,319,Glenorchy,682,46.87,773,53.13,1455,98.24,26,1.76,1481
1,TAS,319,Glenorchy Central,483,43.63,624,56.37,1107,98.23,20,1.77,1127
1,TAS,319,Glenorchy CLARK PPVC,3488,40.88,5045,59.12,8533,98.84,100,1.16,8633
1,TAS,196,Glenorchy LYONS PPVC,663,28.86,1634,71.14,2297,98.84,27,1.16,2324
1,TAS,319,Glenorchy South,176,61.11,112,38.89,288,98.97,3,1.03,291
1,TAS,319,Glenorchy West,703,48.45,748,51.55,1451,98.37,24,1.63,1475
1,TAS,196,Granton,224,32.09,474,67.91,698,99.29,5,0.71,703
1,TAS,193,Grassy,27,24.11,85,75.89,112,98.25,2,1.75,114
1,TAS,192,Gravelly Beach,225,40.54,330,59.46,555,98.58,8,1.42,563
1,TAS,196,Hadspen,348,30.42,796,69.58,1144,99.13,10,0.87,1154
1,TAS,196,Hagley,84,27.81,218,72.19,302,98.05,6,1.95,308
1,TAS,193,Havenview,134,31.6,290,68.4,424,98.38,7,1.62,431
1,TAS,193,Heybridge,76,26.57,210,73.43,286,98.62,4,1.38,290
1,TAS,193,Highclere,22,17.19,106,82.81,128,98.46,2,1.54,130
1,TAS,192,Hillwood,136,35.98,242,64.02,378,99.21,3,0.79,381
