QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,228,Abbotsford,763,83.3,153,16.7,916,99.13,8,0.87,924
1,VIC,320,Abbotsford COOPER PPVC,877,87.18,129,12.82,1006,99.41,6,0.59,1012
1,VIC,221,Abbotsford KOOYONG PPVC,2187,67.98,1030,32.02,3217,99.66,11,0.34,3228
1,VIC,228,Abbotsford MELBOURNE PPVC,10366,78.71,2804,21.29,13170,99.38,82,0.62,13252
1,VIC,228,Abbotsford South,867,85.42,148,14.58,1015,99.02,10,0.98,1025
1,VIC,234,Abbotsford WILLS PPVC,421,88.26,56,11.74,477,99.58,2,0.42,479
1,VIC,225,Aberfeldie,724,56.52,557,43.48,1281,99.46,7,0.54,1288
1,VIC,309,Aintree,1094,52.8,978,47.2,2072,99.52,10,0.48,2082
1,VIC,233,Aireys Inlet,437,76.8,132,23.2,569,99.65,2,0.35,571
1,VIC,225,Airport West,980,40.56,1436,59.44,2416,98.65,33,1.35,2449
1,VIC,203,Aitken Creek,860,50.35,848,49.65,1708,98.84,20,1.16,1728
1,VIC,212,Alamanda,895,54.24,755,45.76,1650,99.58,7,0.42,1657
1,VIC,322,Albert Park,842,67.31,409,32.69,1251,99.36,8,0.64,1259
1,VIC,213,Alberton,93,21.68,336,78.32,429,99.31,3,0.69,432
1,VIC,321,Albion,730,58.73,513,41.27,1243,97.64,30,2.36,1273
1,VIC,218,Albury INDI PPVC,379,37.9,621,62.1,1000,99.4,6,0.6,1006
1,VIC,218,Alexandra,386,29.76,911,70.24,1297,99.16,11,0.84,1308
1,VIC,322,Alfred Square,1164,79.62,298,20.38,1462,98.58,21,1.42,1483
1,VIC,198,Alfredton,435,43.63,562,56.37,997,98.71,13,1.29,1010
1,VIC,198,Alfredton West,1016,46.44,1172,53.56,2188,98.83,26,1.17,2214
1,VIC,233,Allansford,210,29.87,493,70.13,703,99.58,3,0.42,706
1,VIC,320,Alphington,1095,78.95,292,21.05,1387,99.28,10,0.72,1397
1,VIC,212,Altona,789,57.26,589,42.74,1378,98.57,20,1.43,1398
1,VIC,212,Altona Bay,330,45.14,401,54.86,731,98.38,12,1.62,743
1,VIC,212,Altona Gate,680,51.55,639,48.45,1319,98.8,16,1.2,1335
1,VIC,212,Altona Green,1035,47.43,1147,52.57,2182,98.51,33,1.49,2215
1,VIC,212,Altona Lakes,389,51.87,361,48.13,750,98.17,14,1.83,764
1,VIC,212,Altona Meadows,742,50.44,729,49.56,1471,98.53,22,1.47,1493
1,VIC,212,Altona Meadows East,338,48.56,358,51.44,696,98.58,10,1.42,706
1,VIC,212,Altona North,585,46.06,685,53.94,1270,98.37,21,1.63,1291
1,VIC,212,Altona West,778,56.13,608,43.87,1386,98.72,18,1.28,1404
1,VIC,208,Anakie,82,24.62,251,75.38,333,98.81,4,1.19,337
1,VIC,233,Anglesea,651,70.99,266,29.01,917,99.35,6,0.65,923
1,VIC,209,Antonio Park (Deakin),284,63.11,166,36.89,450,98.68,6,1.32,456
1,VIC,229,Antonio Park (Menzies),385,57.89,280,42.11,665,99.11,6,0.89,671
1,VIC,233,Apollo Bay,568,59.29,390,40.71,958,98.66,13,1.34,971
1,VIC,224,Apsley,58,21.56,211,78.44,269,99.26,2,0.74,271
1,VIC,233,Ararat,219,24.12,689,75.88,908,98.91,10,1.09,918
1,VIC,233,Ararat PPVC,780,24.44,2411,75.56,3191,99.28,23,0.72,3214
