QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,239,Acton Park,47,18.95,201,81.05,248,99.6,1,0.4,249
1,WA,243,Albany,637,39.86,961,60.14,1598,98.82,19,1.18,1617
1,WA,243,Albany PPVC,3761,26.58,10389,73.42,14150,99.24,109,0.76,14259
1,WA,237,Alexander Heights,564,39.06,880,60.94,1444,98.5,22,1.5,1466
1,WA,237,Alexander Heights West,366,37.5,610,62.5,976,99.09,9,0.91,985
1,WA,244,Alkimos,332,32.61,686,67.39,1018,99.61,4,0.39,1022
1,WA,244,Alkimos PPVC,1186,29,2903,71,4089,99.42,24,0.58,4113
1,WA,244,Alkimos West,600,37.08,1018,62.92,1618,98.78,20,1.22,1638
1,WA,243,Allanson,50,30.12,116,69.88,166,99.4,1,0.6,167
1,WA,248,Applecross,885,44.74,1093,55.26,1978,99.05,19,0.95,1997
1,WA,240,Applecross FREMANTLE PPVC,316,46.2,368,53.8,684,99.42,4,0.58,688
1,WA,247,Applecross SWAN PPVC,1336,39.84,2017,60.16,3353,99.64,12,0.36,3365
1,WA,248,Applecross TANGNEY PPVC,2028,34.6,3833,65.4,5861,99.64,21,0.36,5882
1,WA,248,Ardross,288,43.57,373,56.43,661,99.4,4,0.6,665
1,WA,248,Ardross West,437,45.62,521,54.38,958,99.27,7,0.73,965
1,WA,317,Armadale,563,36.77,968,63.23,1531,98.65,21,1.35,1552
1,WA,317,Armadale BURT PPVC,2167,25.27,6410,74.73,8577,99.29,61,0.71,8638
1,WA,236,Armadale CANNING PPVC,537,23.51,1747,76.49,2284,99.39,14,0.61,2298
1,WA,317,Armadale East (Burt),240,36.2,423,63.8,663,98.96,7,1.04,670
1,WA,236,Armadale East (Canning),209,28.4,527,71.6,736,99.33,5,0.67,741
1,WA,317,Armadale North,258,33.77,506,66.23,764,99.35,5,0.65,769
1,WA,317,Armadale South,81,31.76,174,68.24,255,99.61,1,0.39,256
1,WA,317,Armadale West,540,31.4,1180,68.6,1720,98.79,21,1.21,1741
1,WA,245,Ashfield,441,58.88,308,41.12,749,99.47,4,0.53,753
1,WA,248,Attadale,921,46.05,1079,53.95,2000,99.6,8,0.4,2008
1,WA,240,Atwell,785,38.9,1233,61.1,2018,99.07,19,0.93,2037
1,WA,240,Atwell Central,204,40.8,296,59.2,500,98.43,8,1.57,508
1,WA,240,Atwell South,529,43.65,683,56.35,1212,99.18,10,0.82,1222
1,WA,240,Aubin Grove,806,43.57,1044,56.43,1850,98.72,24,1.28,1874
1,WA,239,Augusta,277,30.64,627,69.36,904,98.91,10,1.09,914
1,WA,239,Australind,205,29.84,482,70.16,687,98.85,8,1.15,695
1,WA,239,Australind Central,135,27.22,361,72.78,496,98.8,6,1.2,502
1,WA,239,Australind East,163,30.47,372,69.53,535,98.53,8,1.47,543
1,WA,239,Australind North,219,28.55,548,71.45,767,99.35,5,0.65,772
1,WA,239,Australind PPVC,2184,20.85,8293,79.15,10477,99.24,80,0.76,10557
1,WA,239,Australind South,264,28.48,663,71.52,927,99.14,8,0.86,935
1,WA,305,Aveley,278,30.82,624,69.18,902,98.15,17,1.85,919
